gamma\tau,0.3000,0.5000,0.7000,0.9000,1.1000,1.3000,1.5000,1.7000,1.9000,2.1000,2.3000,2.5000,2.7000,2.9000,3.1000,3.3000,3.5000
0.1000,9.321717e-02,1.329276e-01,1.459728e-01,1.544468e-01,1.619101e-01,1.689364e-01,1.759901e-01,1.833320e-01,1.910361e-01,1.990506e-01,2.072737e-01,2.156146e-01,2.239606e-01,2.322010e-01,2.402668e-01,2.481259e-01,2.557585e-01
0.1334,5.770374e-02,1.035027e-01,1.226869e-01,1.342102e-01,1.441930e-01,1.535551e-01,1.626712e-01,1.717638e-01,1.809187e-01,1.901294e-01,1.993386e-01,2.084761e-01,2.174755e-01,2.262734e-01,2.348177e-01,2.430751e-01,2.510288e-01
0.1778,2.855252e-02,6.993036e-02,9.438652e-02,1.097210e-01,1.226207e-01,1.346287e-01,1.461049e-01,1.572282e-01,1.680915e-01,1.787232e-01,1.891126e-01,1.992306e-01,2.090452e-01,2.185280e-01,2.276569e-01,2.364175e-01,2.448035e-01
0.2371,1.133938e-02,3.903668e-02,6.376629e-02,8.210166e-02,9.772025e-02,1.122889e-01,1.261624e-01,1.394363e-01,1.521685e-01,1.643962e-01,1.761385e-01,1.874025e-01,1.981901e-01,2.085032e-01,2.183458e-01,2.277252e-01,2.366522e-01
0.3162,3.861745e-03,1.776067e-02,3.650971e-02,5.452827e-02,7.138241e-02,8.763385e-02,1.033805e-01,1.185379e-01,1.330424e-01,1.468731e-01,1.600345e-01,1.725421e-01,1.844160e-01,1.956785e-01,2.063535e-01,2.164662e-01,2.260427e-01
0.4217,1.238935e-03,6.991755e-03,1.788194e-02,3.178743e-02,4.711189e-02,6.314792e-02,7.942708e-02,9.555467e-02,1.112466e-01,1.263331e-01,1.407291e-01,1.544035e-01,1.673562e-01,1.796048e-01,1.911761e-01,2.021019e-01,2.124163e-01
0.5623,4.201194e-04,2.709636e-03,8.180593e-03,1.700642e-02,2.860938e-02,4.222731e-02,5.712697e-02,7.267055e-02,8.835557e-02,1.038238e-01,1.188422e-01,1.332723e-01,1.470419e-01,1.601221e-01,1.725116e-01,1.842262e-01,1.952915e-01
0.7499,1.716156e-04,1.196244e-03,3.991115e-03,9.203880e-03,1.701025e-02,2.717986e-02,3.924219e-02,5.264259e-02,6.685113e-02,8.142071e-02,9.600562e-02,1.103563e-01,1.243036e-01,1.377405e-01,1.506057e-01,1.628706e-01,1.745286e-01
1.0000,8.867269e-05,6.397022e-04,2.233163e-03,5.416388e-03,1.053204e-02,1.765876e-02,2.664546e-02,3.719068e-02,4.892527e-02,6.147628e-02,7.450650e-02,8.773312e-02,1.009321e-01,1.139345e-01,1.266184e-01,1.389007e-01,1.507284e-01
1.3335,5.333722e-05,3.899509e-04,1.386564e-03,3.437926e-03,6.849650e-03,1.178148e-02,1.824212e-02,2.611762e-02,3.521278e-02,4.529138e-02,5.610796e-02,6.742962e-02,7.904868e-02,9.078845e-02,1.025043e-01,1.140820e-01,1.254342e-01
1.7783,3.374406e-05,2.486308e-04,8.937921e-04,2.246111e-03,4.544049e-03,7.946237e-03,1.251857e-02,1.824243e-02,2.503375e-02,3.276501e-02,4.128507e-02,5.043508e-02,6.005987e-02,7.001537e-02,8.017286e-02,9.042083e-02,1.006652e-01
2.3714,2.131299e-05,1.580904e-04,5.737011e-04,1.458548e-03,2.989866e-03,5.303101e-03,8.478677e-03,1.254171e-02,1.746981e-02,2.320446e-02,2.966269e-02,3.674744e-02,4.435592e-02,5.238574e-02,6.073922e-02,6.932613e-02,7.806525e-02
3.1623,1.321746e-05,9.863141e-05,3.609946e-04,9.275342e-04,1.924488e-03,3.458507e-03,5.605742e-03,8.408291e-03,1.187608e-02,1.599187e-02,2.071756e-02,2.600049e-02,3.177894e-02,3.798680e-02,4.455701e-02,5.142419e-02,5.852637e-02
4.2170,8.032142e-06,6.024585e-05,2.221272e-04,5.760011e-04,1.207897e-03,2.196244e-03,3.604123e-03,5.475334e-03,7.833654e-03,1.068434e-02,1.401691e-02,1.780846e-02,2.202701e-02,2.663446e-02,3.158923e-02,3.684827e-02,4.236865e-02
5.6234,4.795215e-06,3.611827e-05,1.339742e-04,3.500613e-04,7.406413e-04,1.360026e-03,2.255642e-03,3.464948e-03,5.014047e-03,6.917632e-03,9.179854e-03,1.179574e-02,1.475287e-02,1.803305e-02,2.161395e-02,2.547049e-02,2.957603e-02
7.4989,2.822154e-06,2.132787e-05,7.949246e-05,2.089695e-04,4.452872e-04,8.242221e-04,1.378869e-03,2.137591e-03,3.122829e-03,4.350620e-03,5.830670e-03,7.566798e-03,9.557611e-03,1.179731e-02,1.427650e-02,1.698303e-02,1.990271e-02
10.0000,1.642597e-06,1.244590e-05,4.656169e-05,1.229814e-04,2.635188e-04,4.908258e-04,8.267201e-04,1.290937e-03,1.900310e-03,2.668332e-03,3.605002e-03,4.716899e-03,6.007396e-03,7.476978e-03,9.123600e-03,1.094308e-02,1.292947e-02
13.3352,9.479722e-07,7.197128e-06,2.700291e-05,7.158122e-05,1.540367e-04,2.882830e-04,4.881046e-04,7.664287e-04,1.134818e-03,1.603161e-03,2.179523e-03,2.870114e-03,3.679343e-03,4.609927e-03,5.663040e-03,6.838469e-03,8.134792e-03
17.7828,5.435837e-07,4.133264e-06,1.554165e-05,4.131299e-05,8.919050e-05,1.675278e-04,2.847659e-04,4.490152e-04,6.677548e-04,9.476372e-04,1.294382e-03,1.712736e-03,2.206480e-03,2.778470e-03,3.430693e-03,4.164340e-03,4.979882e-03
23.7137,3.101912e-07,2.361347e-06,8.893777e-06,2.369108e-05,5.127179e-05,9.656715e-05,1.646292e-04,2.603927e-04,3.884990e-04,5.531787e-04,7.581827e-04,1.006753e-03,1.301619e-03,1.645015e-03,2.038705e-03,2.484019e-03,2.981889e-03
31.6228,1.763625e-07,1.343747e-06,5.067457e-06,1.351993e-05,2.931341e-05,5.532261e-05,9.452145e-05,1.498476e-04,2.241000e-04,3.198693e-04,4.394950e-04,5.850463e-04,7.583173e-04,9.608348e-04,1.193872e-03,1.458466e-03,1.755440e-03
42.1697,9.999783e-08,7.624118e-07,2.877888e-06,7.687308e-06,1.669035e-05,3.154741e-05,5.398808e-05,8.573409e-05,1.284401e-04,1.836522e-04,2.527828e-04,3.370971e-04,4.377104e-04,5.555908e-04,6.915673e-04,8.463393e-04,1.020488e-03
56.2341,5.658219e-08,4.316139e-07,1.630383e-06,4.358912e-06,9.473679e-06,1.792716e-05,3.071644e-05,4.883941e-05,7.326062e-05,1.048870e-04,1.445525e-04,1.930101e-04,2.509292e-04,3.188975e-04,3.974242e-04,4.869465e-04,5.878354e-04
74.9894,3.196664e-08,2.439359e-07,9.219409e-07,2.466510e-06,5.364883e-06,1.016067e-05,1.742500e-05,2.773160e-05,4.163719e-05,5.966736e-05,8.230743e-05,1.099975e-04,1.431308e-04,1.820543e-04,2.270707e-04,2.784417e-04,3.363917e-04
100.0000,1.803889e-08,1.376928e-07,5.206116e-07,1.393517e-06,3.032789e-06,5.747523e-06,9.863301e-06,1.570807e-05,2.360091e-05,3.384386e-05,4.671654e-05,6.247317e-05,8.134148e-05,1.035229e-04,1.291937e-04,1.585070e-04,1.915941e-04
