seed_index,family,amplitude,stage1_iterations,stage1_residual_inf,stage1_revelation_deficit,stage1_max_fr_error,initial_nearest_reference,initial_reference_distance,final_nearest_reference,final_reference_distance
0,mixed_no_learning,1.1274779669884562e-06,75,7.585403768647914e-08,0.00021934031943182664,0.16917118809267562,non-FR,0.11042917137672037,non-FR,0.0008343350857682452
1,near_nonfr,0.00033317805536488065,72,5.733844965494228e-08,0.00022148667803545408,0.16917466613513732,non-FR,0.00019103918166507583,non-FR,7.30461245157521e-07
2,near_nonfr,0.00032636456625624686,74,5.437920991280265e-08,0.00022148655390663574,0.1691745643872571,non-FR,0.00016564516822409336,non-FR,4.94766050462836e-07
3,near_fr,4.556829774150429e-06,15,7.764374282404063e-08,1.2212453270876722e-14,1.0234473195036564e-06,FR,2.4661531561331884e-06,FR,1.0234473195036564e-06
4,mixed_fr_nonfr,0.005277857704848821,90,0.0010605638409891815,1.536043230054851e-06,0.005520604490212078,FR,0.04647680476940519,FR,0.005520604490212078
5,near_fr,6.263241486344201e-05,90,3.707532699737115e-07,2.279620936462834e-12,6.010520079702264e-06,FR,3.479088554658727e-05,FR,6.010520079702264e-06
6,mixed_fr_nonfr,1.8584912296918003e-05,68,6.875795927063777e-08,0.00022148815681488632,0.16917412903192708,non-FR,0.05230033622860686,non-FR,1.6300896622523098e-06
7,mixed_no_learning,9.764911019746818e-07,90,0.002228799420155636,7.878836258257138e-05,0.10980228882079832,FR,0.20044206236741072,non-FR,0.10913947239027155
8,near_fr,4.114325361369485e-05,90,2.8116738370886907e-07,1.6824319715169622e-12,3.829999248194937e-06,FR,3.066280201502458e-05,FR,3.829999248194937e-06
9,mixed_no_learning,0.0002635827953367175,90,0.007772011230407272,0.00033135817645646437,0.10192197449748922,FR,0.37393561019028354,FR,0.10192197449748922
10,near_fr,0.00021129888726927068,90,6.570917757353634e-06,1.1948764200298e-10,2.7857858963531434e-05,FR,9.924596932542329e-05,FR,2.7857858963531434e-05
11,near_fr,6.279786501130671e-05,90,3.3826745660103796e-07,1.7145174169286292e-12,4.695657197184566e-06,FR,2.6960010308330062e-05,FR,4.695657197184566e-06
12,mixed_no_learning,5.954219793613811e-05,90,0.003942161955794554,0.0003130225621590377,0.10232973647062604,FR,0.3771031309108507,non-FR,0.0728223699532825
13,near_nonfr,0.00010044215104288317,70,6.239380700989727e-08,0.0002214858022971944,0.16917478270364028,non-FR,4.424096148891721e-05,non-FR,7.130824336565311e-07
14,mixed_fr_nonfr,0.0014195901273843072,75,7.394626705403695e-08,0.00022148649161668477,0.16917459499779575,non-FR,0.011218371107359348,non-FR,1.7096551213624522e-06
15,near_nonfr,0.0002842566666375137,72,7.151739700450577e-08,0.00022148628008156201,0.16917490879636854,non-FR,0.00022489656480517706,non-FR,1.5072716988417945e-06
16,near_fr,3.179739193959539e-06,18,9.010136736709029e-08,5.329070518200751e-15,4.096540326958831e-07,FR,1.6210333876887084e-06,FR,4.096540326958831e-07
17,mixed_no_learning,2.1714820731998747e-05,90,0.0023587139299698218,7.896422802489145e-05,0.05698325624060352,FR,0.40879158679375316,FR,0.05698325624060352
18,mixed_fr_nonfr,1.8131025153360283e-06,62,7.483240810346459e-08,0.0002214867043419666,0.16917472581201343,non-FR,0.043019168144423636,non-FR,1.4383317283872543e-06
19,mixed_fr_nonfr,1.8603124569728273e-07,90,0.000513322931206317,1.579680698471364e-07,0.0029697603531555483,FR,0.01251540990037392,FR,0.0029697603531555483
20,mixed_fr_nonfr,8.583531677838073e-07,90,0.0012688423432723611,1.347508417404164e-06,0.004427665228870281,FR,0.019578124720505907,FR,0.004427665228870281
21,near_nonfr,1.960570010614349e-05,68,5.7478891646312036e-08,0.0002214864793554927,0.16917471282352348,non-FR,9.792366044036882e-06,non-FR,7.798796163860366e-07
22,mixed_no_learning,4.8482318783025525e-05,90,0.0022592788910646977,7.882543425796751e-05,0.168357547034638,FR,0.14739985711357229,non-FR,0.03904897639767746
23,mixed_fr_nonfr,5.2398849947091924e-05,70,5.789266221967182e-08,0.00022148614404216005,0.16917469330288382,non-FR,0.0022157373536084712,non-FR,6.236816771920672e-07
24,mixed_no_learning,1.2674853327648262e-06,90,5.475739902543325e-06,0.00021358841500396242,0.16919185129220515,non-FR,0.06924278181350962,non-FR,0.0008343303477480468
25,mixed_fr_nonfr,5.064036705703043e-07,61,6.473777636184508e-08,0.00022148621915629718,0.16917463815418476,non-FR,0.05290569861781802,non-FR,5.685329781401904e-07
26,near_fr,2.1364943810677907e-05,90,3.034797553258528e-07,1.9451107391432743e-13,3.410849587215381e-06,FR,1.2319467996846356e-05,FR,3.410849587215381e-06
27,near_nonfr,2.1210371711801838e-07,61,5.350566434358939e-08,0.0002214862837492948,0.16917462465385547,non-FR,1.1998168281124322e-07,non-FR,5.550326488412693e-07
28,near_nonfr,1.7625062623096082e-07,58,5.928773005869914e-08,0.00022148687863587924,0.1691748869908012,non-FR,9.276554879811272e-08,non-FR,8.683492555006112e-07
29,near_nonfr,4.684526225326982e-07,61,7.054404449480245e-08,0.0002214859015551296,0.1691748046308309,non-FR,2.5328388580936334e-07,non-FR,7.350096242753068e-07
30,near_nonfr,1.61448243479367e-08,55,6.335171043314602e-08,0.00022148679883116085,0.1691748281431097,non-FR,8.859970035413056e-09,non-FR,8.625361521130692e-07
31,mixed_no_learning,4.2288751647625684e-05,90,0.0035851522070169395,7.234078056139737e-05,0.1096233872802852,FR,0.4014422130237115,FR,0.1096233872802852
32,mixed_no_learning,0.0003921328010579899,90,0.0017780012465949957,0.0002050745883522831,0.10322634513160195,FR,0.28861175551538887,FR,0.10322634513160195
33,near_fr,3.879049716735518e-07,3,4.979586065712027e-08,1.1102230246251565e-15,1.0991262383575062e-07,FR,1.7484836378756086e-07,FR,1.0991262383575062e-07
34,mixed_fr_nonfr,0.0066181451523200365,78,6.939954133589055e-08,0.00022148576434011247,0.1691750781891611,non-FR,0.03373255163272504,non-FR,1.2752431576834589e-06
35,near_nonfr,4.2936512394866264e-07,59,6.13500608093176e-08,0.00022148774851959985,0.16917482511138338,non-FR,2.5714140511334804e-07,non-FR,1.124602448776546e-06
36,mixed_no_learning,0.0006767788232655115,90,0.0035192879818927575,0.0002448190214876522,0.15958857546424965,FR,0.18850994016963404,non-FR,0.036433404376047696
37,near_fr,9.175629878146397e-08,1,3.658960379127052e-08,1.1102230246251565e-16,3.778278090393883e-08,FR,5.006063741319622e-08,FR,3.778278090393883e-08
38,mixed_no_learning,0.0010833658895260466,90,0.0015810802209714758,0.0005555208167172809,0.1020641779917908,FR,0.25280608341856825,FR,0.1020641779917908
39,near_fr,4.700155250369041e-05,90,1.402592149923887e-07,4.685696275430473e-12,5.356030711389792e-06,FR,2.6187604725391722e-05,FR,5.356030711389792e-06
40,near_fr,1.2326032998244107e-06,6,1.0320570283106623e-07,2.9976021664879227e-15,1.6337060020077399e-07,FR,6.952626901424175e-07,FR,1.6337060020077399e-07
41,mixed_no_learning,3.91330633040893e-06,90,0.0024131639608978017,6.541698723372402e-05,0.10893600804992634,FR,0.20771486562365746,FR,0.10893600804992634
42,mixed_fr_nonfr,0.0033849468173772425,90,0.0006078628670706243,8.076707741500044e-07,0.007514144945392931,FR,0.04184489624296672,FR,0.007514144945392931
43,near_nonfr,4.4638780478321075e-07,60,7.214588915172016e-08,0.000221485172818503,0.16917445355738614,non-FR,2.3920227354423673e-07,non-FR,3.839361795154872e-07
44,near_fr,2.6668908384264165e-08,1,1.0726195875943034e-08,1.1102230246251565e-16,1.148814515739005e-08,FR,1.3455298264464233e-08,FR,1.148814515739005e-08
45,near_nonfr,1.648865579698002e-06,64,6.052202505824056e-08,0.00022148593921123005,0.1691749990525756,non-FR,9.495817397953132e-07,non-FR,1.1606945621300824e-06
46,near_nonfr,0.0003165120660965249,71,6.202965507906555e-08,0.00022148420241674405,0.1691747568165881,non-FR,0.0001289840890202898,non-FR,8.402969020049333e-07
47,mixed_fr_nonfr,0.0021690832779933567,90,0.0009597969890304814,5.55377850486316e-07,0.016254329112920865,FR,0.03563529031781021,FR,0.016254329112920865
48,near_fr,3.453478739983386e-05,90,1.724096567491673e-07,3.906874823655926e-12,2.6621686884942264e-06,FR,2.0712524310295688e-05,FR,2.6621686884942264e-06
49,near_fr,7.045436510460814e-07,7,6.698456789244744e-08,1.1102230246251565e-15,1.8505465321227987e-07,FR,3.8122990325684114e-07,FR,1.8505465321227987e-07
50,near_nonfr,0.0002067997868343489,72,5.691746829405986e-08,0.00022148609807914887,0.16917480498650184,non-FR,9.543996465921634e-05,non-FR,7.353652952124534e-07
51,mixed_no_learning,0.00017679491601231345,90,0.004713659811693138,0.0003067813869525038,0.1015576568366223,FR,0.38694874333416673,FR,0.1015576568366223
52,near_fr,4.051467477536347e-06,42,8.702755499578885e-08,3.8968828164342995e-14,2.9259504674694625e-07,FR,1.9545206083604327e-06,FR,2.9259504674694625e-07
53,near_fr,2.50886107318937e-08,1,6.598701307591881e-09,0.0,9.054411165276832e-09,FR,1.09841161166635e-08,FR,9.054411165276832e-09
54,near_fr,0.0009484868289281652,90,2.909634000292094e-06,5.588384199839425e-10,5.840993173000797e-05,FR,0.0005476431726861852,FR,5.840993173000797e-05
55,near_fr,1.2053954734552463e-08,1,4.193711711231174e-09,0.0,4.552099419630196e-09,FR,5.497647281860196e-09,FR,4.552099419630196e-09
56,near_fr,2.2450622852055666e-07,1,7.011552183300296e-08,1.2212453270876722e-15,8.113388477726247e-08,FR,1.0401666811210575e-07,FR,8.113388477726247e-08
57,mixed_fr_nonfr,9.231472773212885e-05,70,5.712113770872662e-08,0.00022148667462473792,0.16917475722417585,non-FR,0.02005232936853374,non-FR,1.0532078651981358e-06
58,near_nonfr,1.358997459777857e-05,66,5.8519630308229154e-08,0.00022148619478623566,0.16917439439073256,non-FR,5.798307015636439e-06,non-FR,1.3215622823858908e-06
59,mixed_no_learning,1.071234449067201e-06,90,0.0020644870686936656,8.53665771236578e-05,0.1661008121311377,FR,0.17201930479429686,non-FR,0.03941558953723656
60,mixed_no_learning,4.09684487848179e-05,90,0.0029964150383527954,0.0003035257134879066,0.10255617038136156,FR,0.3816221383855072,FR,0.10255617038136156
61,near_fr,7.686885870899669e-05,90,9.021970132361279e-07,1.4058199049316045e-11,1.9742494387631204e-05,FR,4.6377202913505666e-05,FR,1.9742494387631204e-05
62,near_nonfr,8.162100976966856e-07,63,6.153557374766194e-08,0.00022148641227226484,0.16917489225873283,non-FR,4.021362272066398e-07,non-FR,9.417275231848876e-07
63,mixed_fr_nonfr,4.12989003118128e-05,68,5.6210344157037184e-08,0.00022148624568141262,0.1691748041183918,non-FR,0.003621676574412369,non-FR,7.484745188635067e-07
64,near_fr,2.736251668925885e-08,1,1.2365362622723808e-08,2.220446049250313e-16,1.2421338679846627e-08,FR,1.4522303970476713e-08,FR,1.2421338679846627e-08
65,mixed_no_learning,0.0008449477904995291,90,0.001807735957509271,9.788941279276209e-05,0.11022175283422239,FR,0.3012351465583223,non-FR,0.10235636605622145
66,mixed_no_learning,4.515145242049625e-05,90,0.00234978280960374,8.87413970740436e-05,0.11024335692838963,FR,0.26480829672993556,FR,0.11024335692838963
67,mixed_no_learning,0.008275173893353527,90,0.002519463989760773,7.339226361580131e-05,0.10947012653242266,FR,0.22431251045738368,FR,0.10947012653242266
68,near_fr,2.089142522065386e-07,2,4.185371804688032e-08,5.551115123125783e-16,7.493826487126043e-08,FR,9.307316850559744e-08,FR,7.493826487126043e-08
69,near_fr,6.941912106997449e-06,23,1.0557258345311737e-07,7.66053886991358e-14,9.931265428919644e-07,FR,4.137951209626234e-06,FR,9.931265428919644e-07
70,mixed_fr_nonfr,6.118997074003135e-05,74,5.976231282067701e-08,0.0002282645990379084,0.16917535938495443,non-FR,0.06871324363634002,non-FR,0.00036935748333166707
71,near_nonfr,5.350422820456687e-05,69,5.397753899405444e-08,0.0002214862696967579,0.16917470406637414,non-FR,2.8122597959034934e-05,non-FR,7.717149839714388e-07
72,near_fr,4.782924048584222e-06,26,8.091582737179692e-08,2.886579864025407e-15,2.0726118166169982e-07,FR,4.438522615335394e-06,FR,2.0726118166169982e-07
73,mixed_no_learning,3.6355670529041538e-06,90,3.051542467047419e-07,0.00022177814869661638,0.1691753105913575,non-FR,0.12676631278525474,non-FR,0.000834342613368122
74,mixed_no_learning,2.2447413883258033e-05,90,0.014532696540634271,0.00030323733662984687,0.10147996179574617,FR,0.33907341931869306,FR,0.10147996179574617
75,near_nonfr,2.4403465776763404e-05,68,6.674053099064992e-08,0.00022148674888866626,0.16917481437304838,non-FR,1.4029380334790176e-05,non-FR,9.898781453410166e-07
76,near_fr,2.952019791734306e-07,2,4.506347051069781e-08,1.2212453270876722e-15,7.673882551628708e-08,FR,1.1778368524950622e-07,FR,7.673882551628708e-08
77,mixed_fr_nonfr,0.00010700635538450297,90,0.0026617786563775114,2.19143661173149e-06,0.01877943384831604,FR,0.04498191829517395,FR,0.01877943384831604
78,near_nonfr,0.0006930877826504098,73,6.129801810583757e-08,0.00022148579617287112,0.16917484806720895,non-FR,0.0004713236804722576,non-FR,8.2848308596839e-07
79,mixed_fr_nonfr,0.0006144406129201725,73,6.070649460898636e-08,0.0002214845133575727,0.16917457318362417,FR,0.07055060808305902,non-FR,5.035624175420139e-07
80,near_fr,2.6081157988532887e-05,90,4.285983397078752e-07,4.132916231469608e-12,3.4421032753528813e-06,FR,1.8503495968102968e-05,FR,3.4421032753528813e-06
81,near_nonfr,2.7104756368614154e-05,68,5.6097245071384805e-08,0.00022148721892123469,0.16917482985722543,non-FR,1.8460281368759546e-05,non-FR,1.2281797913127335e-06
82,near_fr,0.00048734097017902865,90,5.409993492286325e-06,2.802318821437666e-09,9.364907593700789e-05,FR,0.00023431369301962768,FR,9.364907593700789e-05
83,near_nonfr,1.949331826000746e-05,68,5.862490193297987e-08,0.00022148585877934668,0.16917498671622277,non-FR,9.544851329146287e-06,non-FR,1.1472026937853208e-06
84,mixed_fr_nonfr,4.1521353917964123e-07,61,6.133419294673814e-08,0.00022148529039145437,0.16917458428520904,non-FR,0.05118971578499887,non-FR,7.774326657994379e-07
85,near_nonfr,1.9351283102701487e-05,68,5.583250839436005e-08,0.00022148534038657353,0.16917471700673592,non-FR,1.1481658465040123e-05,non-FR,6.473855292954411e-07
86,mixed_fr_nonfr,5.053279986901909e-07,90,0.0016794791094393302,1.2528980039006044e-06,0.015744093868067965,FR,0.037204742108421396,FR,0.015744093868067965
87,mixed_no_learning,9.86815208563042e-05,90,0.008375618247692063,7.22246915387803e-05,0.035089539455769536,FR,0.4553307232731073,FR,0.035089539455769536
88,mixed_fr_nonfr,0.00016108827236048672,74,5.754045223627102e-08,0.0002214889268675746,0.16917309829305338,FR,0.0819039054031625,non-FR,1.0565081662861076e-06
89,mixed_no_learning,3.8833785243319375e-05,90,0.002329943730058681,0.00012119251884457061,0.1618369887862986,FR,0.15769207515292488,non-FR,0.03756357554680689
90,near_fr,3.101051120492286e-06,43,8.341095630859385e-08,8.881784197001252e-15,8.040599412395544e-07,FR,1.3657700935754136e-06,FR,8.040599412395544e-07
91,mixed_fr_nonfr,0.0026046493129053016,76,6.273972896764235e-08,0.00022148844041325333,0.1691748210068701,non-FR,0.009513569139605993,non-FR,1.1926910554183046e-06
92,near_fr,2.0800768702810353e-05,90,7.635596538935197e-07,6.786793349533582e-12,3.0035472514677863e-06,FR,1.349044509613151e-05,FR,3.0035472514677863e-06
93,near_fr,0.00011839989304688567,90,3.8201830807396697e-07,2.5917379353757042e-11,8.175389208719963e-06,FR,6.3264801448637e-05,FR,8.175389208719963e-06
94,near_nonfr,1.061811692611337e-07,54,7.294411730196515e-08,0.00022148686256373562,0.16917485233265261,non-FR,4.79947669940195e-08,non-FR,7.827114459901807e-07
95,mixed_no_learning,0.0007314900493615932,90,0.003120337391903205,0.00017939696770064018,0.10997104750895487,FR,0.2157802882303377,non-FR,0.10012809355941288
96,near_fr,8.627163236038053e-07,5,5.379153622531163e-08,1.6653345369377348e-15,1.2976669594433332e-07,FR,4.4507709007213236e-07,FR,1.2976669594433332e-07
97,mixed_no_learning,7.643484898159812e-07,90,1.0304718831677384e-05,0.0002184782876513136,0.16919317432612202,non-FR,0.011112624134648308,non-FR,0.0008343188746386954
98,near_nonfr,6.248651330488769e-05,69,6.889856718483856e-08,0.00022148625565054925,0.16917496963055412,non-FR,3.865209229664268e-05,non-FR,1.3385798532383753e-06
99,near_nonfr,9.70658094165424e-08,57,7.033580451398791e-08,0.00022148721882542244,0.16917502078776236,non-FR,5.6168509954268586e-08,non-FR,1.0336627255247421e-06
